Name
1,Albert-Laszli Barabasi ,
2,Alice Sebold,
3,Allison Arieff,
4,Andrew Gross,
5,Andy Rae ,
6,Angela C. Buraglia,
7,Ann Patchett,
8,B. J. Fogg ,
9,Ben Forta,
10,Bernie Wrightson,
11,Biju Thomas,
12,Bill Mann,
13,Brian Knight,
14,Bryan Burkhart,
15,Carl Sagan ,
16,Cassandra Adams,
17,Charles Burck,
18,Chip Dawes,
19,Christine Bastin,
20,Chuck Palahniuk ,
21,Daniel W. Collins,
22,Dee Henderson,
23,Don DeLillo ,
24,Donald E. Kieso,
25,Donald Kaufman,
26,Doug Stuns,
27,Edward Osborne Wilson ,
28,Eibe Frank,
29,Francis D. K. Ching,
30,Gerald Carter ,
31,Gerard Gefen,
32,Harold McGee,
33,Ian H. Witten,
34,Ian McEwan ,
35,Jacquelyn Mitchard,
36,Jacques Evrard,
37,James Patterson,
38,Jay P. Decima ,
39,Jeffery Deaver,
40,Jeffrey M. Wooldridge ,
41,Jerry J. Weygandt,
42,Joseph C. Johnson,
43,Joseph Truini ,
44,Karen Marie Moning,
45,Ken Coffman ,
46,Ken Getz,
47,Ken Henderson,
48,Larry Bossidy,
49,Laurel Graeber,
50,Laurell K. Hamilton ,
51,Lawrence Revsine,
52,Lee McAlester,
53,Leon Chalnick,
54,Leslie Plummer Clagett ,
55,Margy Ross,
56,Mark Grinblatt,
57,Mark Z. Danielewski ,
58,Mary Higgins Clark,
59,Matthew Delaney,
60,Matthew Weishan,
61,Michael Cunningham,
62,Michael Meyers ,
63,Michael Romkey ,
64,Mike Gunderloy,
65,Nate Weiss,
66,Nicholas Sparks ,
67,Nora Roberts ,
68,Patrick Lencioni,
69,Paul DuBois,
70,Paul Litwin,
71,Paul Marcus Fischer,
72,Rael Dornfest,
73,Ralph Kimball,
74,Ralph R. Kylloe ,
75,Ram Charan,
76,Ramez A. Elmasri,
77,Rita Hartung Cheng,
78,Rob Vieira,
79,Robert C. Higgins ,
80,Robert D. Schmidt,
81,Roma Ligocka,
82,Scott Kelby ,
83,Shamkant B. Navathe,
84,Sheridan Titman,
85,Simon Benninga ,
86,"Simon Benninga, Benjamin Czaczkes ",
87,Stephen King,
88,Stephen Wolfram ,
89,Steven J. Root ,
90,Steven Pinker,
91,Sue Monk Kidd,
92,Suzanne Brockmann,
93,Taffy Dahl,
94,Tara Calishain,
95,Terry D. Warfield,
96,Terry Pratchett,
97,Tina Freeman ,
98,Virginia McAlester,
99,W. Bruce Johnson,
100,William James Taylor,
101,Wladyslaw Szpilman,
